Comment,sentiment,sentiment_encoded
"software engineer 30 year experience developing supporting enterprise software application response study not measuring right things. dont understand use ai, youre not going design valid study measure productivity increase achieved using ai. ai may not yet replace people aspect project, but humanintheloop requirement doesnt doesnt negate productivity gain achieved incorporating ai workflows. no longer need team developer create enterprise ready application. need 1 2 providing guardrail ai agent generate code infrastructure code.",positive,1
ram gpus back please,positive,1
counterpoint ai not ever ever time saving tool. even developer thought faster wth code bot turned actually slower. smoke mirror,negative,-1
"ai technically llm meant used tools. cant expect tool work cant expect hammer smash nail own. know right hands, tool help get job efficiently.",positive,1
keep pushing damn ai something abuse labor law exist theyll pay money mean always worker 247 there notion ai sentience tot,negative,-1
"648 ai image chosen better humanmade one case, guess 4 failure well. bland boring design.",negative,-1
"today asked ai much money article 80 million view gets. confidently told .02 rate per download, 80 million download article would generate 1.6 billion dollars. even told 80,000,000.021.6 billion. yeah. good luck this.",positive,1
like trying cure human cold. lmfao come crashing down.,positive,1
im not saying ai sucks. 96 it...,negative,-1
falling trough disillusionment arent we??,negative,-1
comment section. know ai isnt capable ready replace human workers. thats not saying ai take job saying management see black ink bottom line hit target replace human really doesnt matter ai ready replace human not long human think turn theyll get end year bonus,positive,1
"complete opposite prediction 10 20 year ago site like forbes keep saying creative job hardest replaced, job getting hit hardest lol",positive,1
"money grab people felt badly, transfer wealth",neutral,0
spent time correcting ai response actually getting it.,neutral,0
"ai agent automations, devs need make sure llm code hallucinations, bias, debugs itself, corrects inaccuracy source references, code adequate security malware, viruses, hacking techniques. dev need know prompt efficiently effectively avoid slop, churn, etc. factor im sure need taken consideration but here start.",positive,1
"trust llm answer thing dont care, like soso usually social medium influencer hollywood start besides always go source websites. come someone trust llm surgery? thats stupidity.",positive,1
wont replace people one one. reduce number people needed team making others efficient.,positive,1
"faulure rate, think make pretty good point ai helping video fauling.",positive,1
"remember game, horizon? one killer robot scoured earth life, but itll instead expanding need building server park provide ai computing capability order generate images.",negative,-1
"2 year ago coldfusion glazing anything ai, called absurdity partially wake up.",positive,1
possible quantum pc unlock new ai level. not like data scientist myself.,negative,-1
"ai bad search engine, sucks.",negative,-1
"excuse me, surgeon taking instruction generative ai?? thats absolutely insane.",negative,-1
work team building custom gen ai project clients. project dont go beyond pilot phase client dont come back doesnt work well time,negative,-1
ai fails common searches. make lot mistake,negative,-1
"ai replace creatives now, but im not confident llm able keep constantlychanging cultural landscape. think might take little longer shoe drop firm fire designers...",negative,-1
omg not obvious everybody?! no one remember last 30 years?!,negative,-1
using ai wrong get outcome everyone know use expects entirely.,negative,-1
anyone actually know ai work kind critical thinking skill know losing job ai narrative nonsense. job loses attributed ai lost reasons.,negative,-1
"cooked tech industry... 95 even im currently trade school need minimum 70 class qualify apprenticeship grade school need 5060 pas he ai, called future, cant even consistently hit 5 accuracy billions, not trillion dollars, 5 theyve developing ai 70 yr pushed unbelievably hard last decade still 5 accuracy",negative,-1
"fancy auto correct machine, nothing inside it, missing fundamental stuff today ai.",negative,-1
exactly ai good for? art? no. ai art no soul. giant waste money,negative,-1
"completely disagree video generation coming shortly. try actually using job production need realistic consistent bespoke editorial content. cant it. garbage. ive trying use 2 year point. give crew theyll get job done quicker, effectively actually client wants.",positive,1
worked deal ip owners? adding fuel please sue u fire.,neutral,0
"stupid take! read way around ai already better 4 remote job humans. much faster cheaper. even today models, still infancy, average job given, singleprompt approach !. im disappointed quality video. even quoting something thinking llm would produce legal chess move board problem solved 30 year ago without ai. llm not designed play chess architecture, but code chess engine beat human today reliably.",negative,-1
fascinating! cant wait see it!,positive,1
"every ad episode, ai slop use ai get new job. cant make",neutral,0
laugh end,positive,1
"money pumped ai could solved many problem mankind. could fed hungry could created many job everyone could afford home live could gone many actually useful things. but no. instead get fake videos, misinformation, pollution, ip theft, mass layoffs, enshitification financial crisis inevitably crash burns.",negative,-1
ad video ai?,neutral,0
ai going destroy economy permanently.,negative,-1
isnt surprising given havent achieved agi yet. investment ai bet agi eventually happen.,negative,-1
oh yeah sure ai attack important job serious work somehow not working yeaaah yeaaah,positive,1
"disagree.... automatitaion not everything, example gemini good image editing, many people use chatgpt. many corp use enterprise google, help people create something less time",positive,1
"spelled failure wrong exactly 30 second video made smile, irony keep great work though, love video !",positive,1
"test show professional beat ai, unskilled layman? not ignored, since professional need time developed. would kill young generation room improving getting slim",negative,-1
dislike ai is. waste recourse get response cant trust.,negative,-1
"uk 5.2 unemployment starting real problem. 1979, unemployment less 6 swayed general election. 1981 unemployment last reached 10 ub40 sang one 1 10, riot street heralded shift new economics. ai doesnt need take 5 job double unemployment cause widespread upheaval. talk ai 40 jobs, say? society shifted long point.",negative,-1
"shit ceo promised ai replace human labour cure cancer smarter human shit ai actually google shit not particularly good quasi bruteforce pattern detection trained specifically slop shitty documents, shitty spreadsheets, shitty code, shitty video shitty images, etc.",negative,-1
96.25 faulure rate written ai gather? p,positive,1
im done ai bashing,neutral,0
"assistance tool like others. but human humans! hammer primary use nail but also use kill kind, idk simple fact not realized many yet!",negative,-1
rate compare success upwork human workers??? probably same. human upwork produce utter shit output. cant even justify client spend 50 without client demand refund.,negative,-1
saying ai failure rate 96.25 saying fails 9 10 task common misinterpretation statistics.,negative,-1
"employee 96 failure rate, youd fire them, not give raise.",negative,-1
prof ai bubble real,neutral,0
"stupid study, everyone know ai alone cant beat human. but human using ai work 10 people, erasing 9 job market. thats issue.",negative,-1
ai good replacing entry mid level software engineers.,positive,1
bubble gonna burst,neutral,0
"1210 curious, chuckling? take proof narration not generated ai but im curious",positive,1
"im teacher, country pushed efficiency.. shortcut, recommended u start using ai administrative purposes, but still teach like usually do, go far copy paste syllabus chatgpt report, but still teach old fashioned way",positive,1
"dont understand subject ai not bring success. ai tool, like carpenter know use wood tools, way software dev use ai speed work but wont write 100 customized software. not saying anything else...",positive,1
"think scary part acceleration ai capabilities, especially crazy economic bet happening. guess 5 years, going whole different conversation",negative,-1
"finally good fucking news. regardless agi 2030 latest. fucked, im insane enough jump head first.",negative,-1
"718 lololol not segment want ai slop in, thanks microsoft",positive,1
"going long time job risk, thankfully im niche but required job.",positive,1
better ai... except need 2000 time time! ai super fast,positive,1
"make real looking images. but try generating actually need image tell story second fall apart. not mention make image already exist way eventually people get bored. like hollywood already remaking everything making sequel meant people not going movie it, imagine use tool really good making already scene. spider 23 brought ai...sounds bust me...",positive,1
ai nft crypto scam 2020s.,negative,-1
software engineering ai actually help but need good software enginner use know vibe project but need know lot project rule business definition not make garbage course software written really good software enginner code better but ai level garbage code low level enginners anyway no problem either,positive,1
people confused llm real ai,negative,-1
"need entry level job people new workforce, people arent able advanced work. take away, chunk workforce cannot work ai work. ai need restricted specific area specialisms, otherwise itll cause next depression, worse, super depression.",negative,-1
"think thats really key thing. time saver but not replacement. big benefit ai, especially workspace save time handing mundane repetitive work ai get done well enough, freeing people higher level work",positive,1
459 adverticement coldfusion using ai voice british?,neutral,0
stock market crash incoming?,negative,-1
940 coding absolutely garbage,neutral,0
"straight hopiumcopium. done, coldfusion. sad but cooked",negative,-1
"ai not good now, but might change figure integrate ai quantum computing. thats real scary unknown.",negative,-1
a.i. excel scamming.,positive,1
make ram cheap,neutral,0
"true least now, but not long. hit growing faster jack bean stalk. like jack climbing unknown territory without hesitation. get right no turning back option fall die. serious humanity wwiii scenario, really big.",negative,-1
"ai pretty good stuff, but bad general work. ai better human paid people form fiver work 442 creative ideas. scrapping web. audio image generations. simple imagemarketing production. summaries, writing.",positive,1
"96 failure rate rli study misleading metric test total automation rather humanai augmentation, technology actually used. counterevidence oneshot flaw study penalized ai failure like incorrect file format minor omission human freelancer would fix second standard feedback loop. realworld workflows, iterative prompting increase ai success rate 40. enterprise roi ai failing significantly, wouldnt see current 2026 data firm like pwc ireland, 53 company report measurable productivity gain audit it. developer reality microsoft meta currently reporting 30 50 production code aigenerated. 96 failure rate would collapsed infrastructure instead, deployment speed increased. prompting gap study used brief written humans. research show agentic workflow optimized prompting used, ai accuracy complex task jump low single digit nearly 50. verdict study prof ai isnt dropin replacement human professional yet, but ignores aiassisted human currently outperforming outearning dont use it. arent seeing failure ai seeing failure setitandforgetit implementation strategy.",negative,-1
ai wouldnt spell freelancer wrong. u kept going school,positive,1
"ai logic embedded it, significantly better",positive,1
next 5 year 10 15 20years ?,neutral,0
"fails now. but week different, 10 week different. anyways ai still really brite force databases. yes discriminate better faster, but no imagination free will. but come quantum computing true new ai rise, talk.",positive,1
ai generally performs horribly make lot mistakes. but make mistake fast full conviction enough impress average executive whose entire career follows similar trajectory.,negative,-1
"maybe not replace service but science software, game changer. must use tool not magic wand.",neutral,0
"grand scale, trillion dollar well spent. five year now, standing far solid ground now.",positive,1
tell panic setting suddenly huge effort discredit threat ai pose job market. ai still infancy. laughable pretend study relevant six months. replicate study every new iteration assure see failure rate decrease precipitously. dont kid yourselves.,negative,-1
"politician claim ai solve climate change data center stain power grid built. yep, check norm",positive,1
"may seem like better coding jobs, but thats lot bullshit artist coding, course bullshit master tool help that. look microslop, obvious giving gas shit devs pump shit code. code works, well tested take work, take competent developer properly prompted model keep bar high.",negative,-1
"oh wow another thing hyped lied people want investment money, like self driving tesla crypto currencies. weve literally never seen happen before.",positive,1
nice. instead taking job almost no one want physical take fun job creative spaces. exactly wanted garbage,positive,1
use daily coded professionally since early 90s.. one know get value it. never work box. always check test. almost wonder faster type,positive,1
"show test plan ai foist world. way software engineering always been, still part, done.",neutral,0
"ai abswer question put 1,000,000 million talentless hack?",negative,-1
want to. 020 cant engage b like this. malicious evil.,negative,-1
study flawed. looked upwork ai not recent tasks. ai could job likelyhood itd recent upwork task decrease significantly. job choose also hand picked complex work ai get sense level complexity fail single prompt. also took description upwork verbatium. task could completed someone ai better promptingagain looking task pre ai would fix this. people need stop quoting number like gospel. study basically accurate handpicking thing thought ai would fail. also admit dumb thing paper. like ai completed first couple step project asked reviewto continue counted failure. zero shot project.,negative,-1
comment point.,neutral,0
925 hang on.... literally offing people now!,neutral,0
"ai great tool helping human workers, not replacing them, but market promotion look like fake make it.",positive,1
"really doesnt matter sub par ai now. well 1 trillion dollar previous funding, current funding, future funding. need sub par many things. across board proficient, already late.",positive,1
"ai bubble starting feel lot like australian real estate bubble. vein au government would never allow housing market crash here, im starting get impression u government would never allow ai market crash. many rich finger expensive pies.",positive,1
"actually read rli paper properly youd see claim ai automate 2.5 freelance work quite bullshit research. gave human week professional tool gave ai one hour limited tooling. obviously measuring whether ai economically valuable task useful, but research wasnt set apple apple comparison. proper study would give ai time tools, actually test humanai workflows, know, people actually using stuff. paper test none that. clickbait title really bad science communication coldfusion super disappointing.",negative,-1
predicted year ago.,neutral,0
stupid video misleading. course ai cant cant directly replace human yet. but let say require 5 human perform task today. ai 1 human might able resolve 5 humans. every revolution weve gone industrial revolution invention computer internet made human efficient. also ai learning improving exponential rate!,positive,1
company already remvoed engineer people actually buit system scratch throwing new ai tool every week mix. 3 layoff due project not getting completed time.,neutral,0
derision delivered pedestal authority end isnt quite intellectually sharp youd think. feel like cheap tactic channel striving egalitarian image,negative,-1
"nutshell ai fine youve got wide strike zone count success but cannot counted on, especially laymen, need pas strict validation routines.",positive,1
"ai money saving tool. quality doesnt matter, price bottom end.",neutral,0
succeeds 4 jobs? thats amazing really,positive,1
"point highly monopolised market people little power guide production via systemic input badly educated well stressed no taste building, high desire belonging subjugation enshitification perfect business modell. commercial product may work badly look like shit service may work badly annoying software dysfunctional clusterfuck security nightmare but systemic pressure make omnipresent cheap dosent matter.",negative,-1
let also keep mind result probably people already well trained ai usage. many company not enable employee get even low success ra5e.,positive,1
96.25 faulure rate fix typo opening second xd,positive,1
"least experience, youre not expert review ai work done, dont trust results. example tried test ai basic car setup track racing basic mean really basic stuff comparing tyre temperature different area tyre tyre adjust camber setting one direction other, didnt even asked calculate camber angle, tell direction go. long story short, went complete opposite direction set car way advised would end setup suitable 1920s race car tractors. even asking take account different variable still adamant thinking correct. spent half hour guiding error logic produced somewhat acceptable results. someone experience setup would take 30 second decide general camber angle tyre within 0.2 degree optimal get absolutely optimal angle need run quali race simulation compare tyre wear compromise pro cons, task would impossible ai even understand concept tailor specific driving style, much faster much difficult drive without wearing tyre much. example quali run dont care much tyre wear difficult drive, care lap time, deal car razor edge two laps, but long race priority isnt lap time but easy drive car twitchy two hour youll eventually crash tyre wear, need tyre last distance steady drop laptimes not grip suddenly falling cliff",negative,-1
fails 98 job,negative,-1
"757 llm actually not moving fast. still inherent limitations, come bruteforce sizing transformer general purpose story tellers. cannot, design, goals. try fake goals, brute force, several layer llm try keep notes, hope highlevel note could act like goal. transformer scaling llm unexpected lucky find. but people working no idea why. but know evolutionary dead end. boss keep telling u exact opposite though.",negative,-1
next upcoming year need learn skill distinguish failure ai work might make rich hired everywhere.,positive,1
someone posted asked ai walk drive car wash since 5 min house. ai consistently say walk there.,neutral,0
"youre focusing wrong things, think video creates false sense security. im software development manager, weve using ai realworld work year now. year ago, model good boilerplate code small project hit wall anything large complex. year later, cant believe much theyve improved. not todayits rate progress weve seen twelve month thats truly impressive.",positive,1
last chuckle,positive,1
company called united state technology long time,positive,1
"use ai text overlay, failed spell failure?",negative,-1
harsh truth llm not ai.,negative,-1
"big fan channel but study useless. study not specify exact number prompt used single task evaluation agentic framework. novice trying make ai job single prompt guaranteed fail but scale inference time youll start seeing magic. dont board ai hype train but please learn use it, going game changer like nothing else.",negative,-1
omg burst fucking bubble already,neutral,0
another worst part ai replacement worker theyll everything right mostly wrong way yet deliberately programmed not able see let alone admit errors. theyre like nepobaby interns.,negative,-1
"learned not trust ai tell quickly. however, said, ai gemini pro really helped building game attempting make right now. coming fun ideas, graphic design, uiux, organizing, coding far. work would take much longer without it, incredibly thankful existence!",positive,1
"though ai replacing human meant would one person team using ai help them, previously five people team without ai?",positive,1
"lol benchmark, swebench, close best programmer entire world. coping, coping seeeeeeething! guess forgot claude opus 4.6....",positive,1
"area study bias towards human. try field like coding, pattern recognition, writing manual, get totally different result doesnt matter study said, people getting fired replaced ai",negative,-1
ai good reducing team size take job ppl using get work done. automation real killer,negative,-1
never well good luck.,negative,-1
ai suck rich people burn.,positive,1
well shit 4 time going become 40 time next year. itll 80. 95. 99. well fucked 2035,negative,-1
no watching coldfusion tv,negative,-1
ai slop video discusses ai slop..real fitting,neutral,0
getting better though quickly,positive,1
study flawed. overseeing thousand engineer technician tell 70 plus success rate first try 90 human guiding,negative,-1
bro depending ai punctuate human skill. gee dont know could go wrong,negative,-1
frankly ai burning much money ...that whole llm thing going memoryholed end next summer.. company pretend never existed..,negative,-1
"honestly, best news ive heard ai",positive,1
tried ai editing sucked!,negative,-1
"unfortunately, worst day ever remember that. 3.5 still five job every 200 people lot lowest. imagine youre stock went 3. youd happy.",negative,-1
cant wait ur next video!,neutral,0
"pls try understand, nothing call ai. llm. thats it. handle language algorithm. dont understand every one call llm address a.i !!",positive,1
"every single time use ai give energy skills. warm fuzzy feeling getting great result ai awful cost diminishing handicapping core skills, knowledge creativity...every single time use it. snowball effect humanity despairing thought.",positive,1
"yes, leaving random bot thing isnt use tech. need build repeatable process application succeed. pretty poor reporting standard make little no sense understood value ai already providing coming due it...",positive,1
jesus glorified. amen amen,positive,1
elephant room no one really worried ai today but terrified exponential evolution job landscape look like another 4 5 year today.,negative,-1
"openai pay license fee paramounthollywood? mean sora know spiderman etc. look like, im asking",positive,1
ai replaces money zero account,neutral,0
couple year now. folk every keep saying ai gonna result massive job loss. job loss 2025 due ai represented 5 total job layoffsterminations lost last year. yet antiai channel keep pushing false narrative. tech job loss 2025 due ai. simply lie. gain engagement ad revenues. false pretext.,negative,-1
saying while. nice see confirmation data,positive,1
"wait second. not all. bad manager caused company many problem firing good employee implementing ai solution not tested proven? think people sould assesed thoroughly damaged company reputation, reduced performance, increased cost, lost telents etc.",negative,-1
"ai model cant hear. read said certain sounds. analize sound wave spectrum determine lota thing but opinion based opinions. cannot generate true new sound, least all, new jazz. man using ai see capacity extended limit judgement. fancy film director film chanel, awesome result actually, agregate, dont convey new valid meaning. ai extend capacity care extend judgement things.",positive,1
"ai fails time gambling odds evidence result disaster not new either, yet something tell corporation going use ai get rid rid workforce nonetheless, using customer guinea pig rd train ai, already happening.",negative,-1
cool gadget technology best. cannot reliable enough replace job claiming. company not going suddenly drop proven process technology thats infancy best. but investor wait long type returns?,positive,1
ai not ai. no intelligence. no understanding. no critical. thinking. none ai. human brain us 25watts energy work but ai us literally entire nuclear power plant run. wrong. make true ai smaller cheaper compuer. already billion transistor one single cpu chip. billion neuron human brain. started small taking small step like toddler teach real human like thought add compute. thought could throw billion dollar massivr data cebters entire nuclear power plant magically work. end realy come money. greed. chose profit people. elite got rich no true ai,positive,1
corporation want replace people. corporation not care anything but money. need better system.,positive,1
030 caption brought ai,neutral,0
96 crazy know alot people using ai crazy success depends job much like hire human need rite guy job janitor not going well rocket company like ai well certain job job well better human,positive,1
benchmark. metr. issue ai fails period time task. period time hit 8 hours...also known one working day...,negative,-1
good summary. tragedy retirement account wiped smart money exit day,positive,1
"even best, wouldnt take best work pulling worst work pulling flatten something mediocre? not looking new innovative way something. preexisting concept pulling those.",positive,1
corporate hire manager not qualified manager lack experience really dont know ai really used but thy hear lie would save money thats care,positive,1
"decade two ago, many people still alive remembered internal combustion vehicle performed worse horse 910 applications.",negative,-1
ai great writing code like auto correct great writing text ex. expecting thing replace human height ignorant optimism.,positive,1
1010 creator like you!!! remember ai ad,positive,1
scaling biggest problem. ai company enough money throw llm get good enough? enough money world even?,positive,1
"fair, entirely acceptable human level. question success failure is, usable not. compare, many handmade thing soughtafter generally accepted superior automation think musical instruments, but also many time expensive, often buy factorymade stuff. cant afford developer, but afford ai, may good deal even quality isnt human level.",positive,1
"one client maximize output minimal employees. he not shy that. convinced need use ai copywriting copywriter 10 year experience. spend time tweaking custom gpts, removing em dashes, feeding data feedback gpts actually write content. absurd.",positive,1
yann right. ive seen multiple attempt life too. huuuuge bubble.,neutral,0
"ai baby stage development. imagine going like 5 10 year due respect, video ai today obsolete youre talking something thats crawling not flying supersonic speed yet",positive,1
"entry level job risk, number year wont experienced people anymore seeing werent able get first place get experience",negative,-1
"bad timing video, not age well. market stock vacillate, often driven sentiment logic, ai continues hyperexponential growth path based substantial amount feedforward factors. human trouble really understanding applying tool typical exponential regime human upskilling adoption rate biggest growth limiting factor so, not surprising many hard time even beginning conceptualize tetrated growth best leverage it. case, unlike dumb digital moore law, ai actually help u learn execute, biggest limiting factor getting past noise like video figure best way leverage unprecedented power provided ai along superexponential growth. 2025 laid foundation agentics via beginning reasoning coupled priora context reinforcement loop learning. 2026 started initial closedloop, self executing evolving ai solidify strong human loop started january 2026, increasingly softoptional human loop optional many task summer, powerful new closed loop feedforward problem solving knowledge reinforcement later year. touch happening ai, using inside companies, well fast accelerating would make video almost comical, werent misguided dangerous people using time learn retool, rather sit back. simply stated, among people not getting several 10 100 percent quality time efficiency gain limiting factor friction point, soon enough likely become road kill. coded professionally across doedod civilian project 40 years, say coded better quality code using prd harness driven ai past 7 month 4 decade before. further, amount substantially passive revenue gained via agentic ainative approach created past year dwarf roi could even imagined year ago. so, know like toolset, take people time learn best leverage it. given ai tetrated growth rate, even bigger challenge many people, ai help bridge human constrained ability learn adapt. foundation laid term solid coding, reasoning hybrid model started see hard liftoff beginning month ago, pivot mostly training chat mode inference, deeply woven inference key driver.",positive,1
good hear lol,positive,1
"great breakdown paper. however, feel like study miss important metric compare human vs. ai comparing human vs. aiaugmented humans. realworld value isnt replacement, but much tool act force multiplier person using it.",positive,1
"dear coldfusion please make video happens bubble burst ? study early indicators, process self, aftermath. would cool include comparative studiesthoughts different industry speed process thanks!",positive,1
"honestly think weve already reached apex usefulness llm generative model capable already. sure benchmark might get better pump enough data, but think weve already seen core capability term reasonable use cases. simple dont logical foundational capability engage true problemsolving, integral people jobs, even deemed less skilled. underestimate value human worker.",positive,1
"ai isnt taking jobs, employer laying staff due financial reasons.",neutral,0
"sure not good now, but everyone spending maxium amount make better! maybe model arent though need breakthrough not going come quite time, but know could 6 month well. interesting times, think though 20 year able many things!",positive,1
"pencil replace human labor? ai may simply become new pencil. much like predecessor, requires trained mind produce refined stroke quality",positive,1
thought impact investment company,neutral,0
"ive arguing now. ai not replacements. tool make human job better faster. not literal replacements. utilized best human actually direct them. actually use si, expression go garbage in, garbage out. ai successful person using clear idea want",positive,1
mean job tech still safer next 1012 years?,positive,1
mean emperor no clothes? everyone said beautiful clothes!,positive,1
"using gpt bit allowing create persona based use. create doctrine forced aggressively audit itself. even doctrine see drift time time. pressed concerning error state fluency truth, confidence style output..because confidence not thing correctness. understand system designed sound confident",positive,1
"wait new years, problem study model simply not designed specialize task yet. dont know complete quality work look like right now. number easily go 7080 coming years.",positive,1
"actually use generative ai tool video creation realise ass. unless building stuff already exists, but 710 better workflow thing higher quality actually skill",positive,1
907 rollout ai everywhere might misallocating hundred billion dollars. billionaire planned,neutral,0
little bit optimism future ai,positive,1
"sake, hope study not made ai",positive,1
"petro billionaire villains... but nobody see spineless worm sylcon valley destroying earth nothing crypto server farms, put world chaos social sites.... atleast petrol delivers....",negative,-1
ram price x5 this? fuck ai,negative,-1
"interesting topic, thanks alot",positive,1
started video elons face clean eye,positive,1
