Comment,sentiment
"2 years ago ColdFusion was GLAZING  ANYTHING ""AI,"" until I called him and the absurdity out and now he partially wakes up. 😂",positive
it is possible quantum pc's to unlock the new ai level. not that i like it as  a data scientist myself.,negative
"AI is only a bad search engine, and sucks.",negative
"Excuse me, surgeons are taking instructions from generative AI??
That's absolutely insane.",negative
"I work in team building custom Gen AI projects for clients. Most of these projects don't go beyond ""Pilot Phase"" as clients don't come back for more as it doesn't work well most times",negative
AI fails in common searches. It makes a lot of mistakes,negative
"AI can replace creatives now, but I'm not confident in LLMs being able to keep up with our constantly-changing cultural landscape. I think it might just take a little longer for the other shoe to drop on firms that fire all their designers...",negative
OMG how is this not obvious to everybody?! Does no one remember the last 30 years?!,negative
They are using AI wrong and get the outcome everyone who knows how to use it expects entirely.,negative
"Anyone who actually knows how ""AI"" works and has any kind of critical thinking skills knows that the ""we are losing jobs to AI"" narrative is nonsense. The job loses attributed to AI are lost for other reasons.",negative
"How cooked is the tech industry... 95%

What even is this

I'm currently in trade school and I need minimum 70% in all classes to qualify for apprenticeship
Grade school you need 50-60% to pass

And he's AI, the so called future, and it can't even consistently hit 5% accuracy

Billions, if not trillions of dollars, and it's only at 5%

They've been developing AI for over 70 yrs
It's been pushed unbelievably hard for the last decade

And it's still only at 5% accuracy",negative
"Its just a fancy auto correct machine, there is nothing inside it, we are missing fundamental stuff in today AI.",negative
"What exactly is AI good for? Art? No.  AI ""art"" has no soul. It has been a giant waste of money",negative
"I completely disagree about video generation coming shortly. Try actually using it in a job / production where you need realistic consistent bespoke editorial content. It can't do it. It's garbage. I've been trying to use it for 2 years at this point. Just give me a crew and they'll get the job done quicker, more effectively and it will actually be what the client wants.",positive
Have they worked out deals with those ip owners? Or are they adding more fuel to the 'please sue us' fire.,neutral
"What a stupid take! You should read this the other way around: AI is already BETTER at 4% remote jobs than humans. And it is much faster and cheaper. Even with today’s models, still in its infancy, at an average job it is given, at a single-prompt approach (!).

I’m disappointed in the quality of this video. Even quoting something thinking LLM would produce legal chess moves on a board when this problem has been solved 30 years ago without AI. LLMs are not designed to play chess by architecture, but they can code a chess engine that will beat most humans today reliably.",negative
Fascinating! Can't wait to see it!,positive
"Every ad during this episode, AI slop or use Ai to get a new job. Can't make this up",neutral
That laugh at the end 😅,positive
"The money being pumped into AI could have solved so many problems for mankind.
It could have fed the hungry
It could have created so many jobs
Everyone could afford a home and to live
It could have gone to so many actually useful things.

But no. Instead we get fake videos, misinformation, pollution, IP theft, mass layoffs, enshitification and a financial crisis when it inevitably crashes and burns.",negative
is this an ad for the video ai?,neutral
Ai is going to destroy the economy permanently.,negative
This isn't surprising given that we haven't achieved AGI yet. Investment in AI is a bet that AGI will eventually happen.,negative
oh yeah sure when ai is about to attack the important job or serious work somehow its not working yeaaah yeaaah,positive
"I disagree....
Automatitaion is not everything, for example Gemini is good at Image Editing, many people use it more than Chatgpt. Many Corps use the Enterprise Google, to help people create something with less time",positive
"You have spelled Failure wrong at exactly 30 seconds into the video which made me smile, the irony ;-)   keep up the great work though, I love your videos !",positive
"These tests show professionals beats ai, how about unskilled layman? This should not be ignored, since professional needs time to be developed…. It would kill young generation as the room for improving is getting slim",negative
I dislike AI as it is. What a waste of recourses just to get responses you can’t trust.,negative
"The UK has 5.2% unemployment and it's starting to be a real problem. In 1979, unemployment at less than 6% swayed a general election. In 1981 when unemployment last reached 10% and UB40 sang about being one of the 1 in 10, there were riots on the streets and it heralded a shift to a new economics. AI doesn't need to take more than 5% of the jobs to double unemployment and cause widespread upheaval. Talk to me when AI can do 40% of the jobs, you say? Society will have shifted long before that point.",negative
"Shit CEOs promised about AI:
- It will replace human labour
- It will cure cancer
- It will be smarter than any human being

Shit AI can actually do for you:
- Google shit (not particularly good)
- Quasi brute-force pattern detection if trained specifically to do so
- Slop: Shitty documents, shitty spreadsheets, shitty code, shitty video and shitty images, etc.",negative
"""96.25% FAULURE RATE"" - Written by AI I gather? :P",positive
I'm done with all the AI bashing,neutral
"it's an assistance tool just like others. but humans are humans!
Hammer's primary use is to nail 
but we also use it to kill our own kind, 
idk why the simple fact is not realized by many yet!",negative
"And how does this rate compare with the success % on upwork for human workers???
Probably about the same. Most humans on upwork produce utter shit output. Most of them can’t even justify a client spend of $50 without having a client demand a refund.",negative
Saying that AI has a failure rate of 96.25% and then saying that it fails 9 out of 10 tasks is the most common misinterpretation of statistics.,negative
"If you have an employee with a 96% failure rate, you'd fire them, not give them a raise.",negative
This proves AI bubble is real,neutral
"Stupid study, everyone knows AI alone can't beat human. 

But a Human using AI can do the work of 10 people, Erasing 9 jobs from market. That's the issue.",negative
AI is good at replacing entry and mid level software engineers.,positive
The bubble 🫧 is gonna burst,neutral
"12:10 just curious, why are you chuckling? I can take it as a proof that your narration is not generated by AI but I'm just curious",positive
"I'm a teacher, and my country is pushed for efficiency..

The shortcut, they recommended us to start using AI for administrative purposes, but still teach like we usually do, some goes too far as in just copy paste their syllabus from chatgpt for their report, but still teach the old fashioned way",positive
"If you don't understand the subject AI will not bring you to a success. AI is a tool, like carpenter knows how to use wood tools, same way if you are a software dev you can use the AI to speed up your work but it won't write 100% customized software. Not saying about anything else...",positive
"I think the scary part is the acceleration in AI capabilities, especially with the crazy economic bets happening. My guess is in 5 years, we are going to be having a whole different conversation",negative
"Finally some good fucking news. Regardless we will have AGI by 2030 at the latest.  We are all fucked, I'm just insane enough to jump in head first.",negative
"7:18 lololol this is not the segment you want ai slop in, thanks microsoft",positive
"It's going to be a long time before my job is at risk, thankfully I'm in a very niche but required job.",positive
"I do better than AI...
Except that I need 2000 times more time! 
AI is just super fast",positive
"It can make real looking images. But try generating what you actually need and an image that tells a story over more than a few seconds and it falls apart. Not to mention it can only make images that already exist in some way and eventually people will get bored. Just like Hollywood already remaking everything and making sequels has meant people not going to the movies it, imagine if they now use a tool that really good at making what we have already scene. Spider 23 brought to you by AI...sounds bust to me...",positive
AI is the NFT and Crypto scam of the 2020's.,negative
In software engineering the AI actually helps but need a very good software enginner to use and know what doing so can vibe the project out but you need to know a lot of the project rules business and definitions to not make garbage and of course if the software is written by a really good software enginner the code is better but the AI do the same level of garbage code that low level enginners does anyway so no problem on that either,positive
people are confused between llm and real ai,negative
"We need entry level jobs for people new to the workforce, or for people who aren't able to do more advanced work. Take those away, and you have a chunk of the workforce who cannot work because AI is doing that work.

AI needs to be restricted to specific areas and specialisms, otherwise it'll cause the next depression, or worse, a super depression.",negative
"I think that's really the key thing. It's a time saver but not a replacement. The big benefits of AI, especially in workspaces is to save time by handing off mundane and repetitive work to AI that can get it done well enough, freeing up the people to do higher level work",positive
"4:59 ""ad-vertice-ment"" ColdFusion using his own AI voice or just british?",neutral
so stock market crash incoming?,negative
9:40 at coding it is absolutely garbage,neutral
"Straight up hopium/copium. You are are done, Coldfusion. Its sad but you are cooked",negative
"AI is not good now, but that might change when they figure out how to integrate AI with quantum computing. That's the real scary unknown.",negative
A.I. will excel at scamming.,positive
MAKE RAM CHEAP AGAIN,neutral
"True at least for now, but not for long. This $hit is growing faster than jack and the bean stalk. Just like jack we are climbing into unknown territory without hesitation. We have to get it right with no turning back option or we will fall off and die. This is more serious to humanity than a WWIII scenario, it really is that big.",negative
"AI is pretty good at some stuff, but very bad at general work.
AI is better than humans (paid people form fiver) at these works:
4:42
* Creative ideas.
* Scrapping the web.
* Audio and image generations.
* Simple image/marketing production.
* summaries, writing.",positive
"The ""96% failure rate"" in the RLI study is a misleading metric because it tests for total automation rather than human-AI augmentation, which is how the technology is actually used. Here is the counter-evidence:

The ""One-Shot"" Flaw: The study penalized AI for ""failures"" like incorrect file formats or minor omissions that a human freelancer would fix in seconds during a standard feedback loop. In real-world workflows, iterative prompting increases AI success rates by over 40%.

Enterprise ROI: If AI were failing this significantly, we wouldn't see the current 2026 data from firms like PwC Ireland, where 53% of companies report measurable productivity gains in audit and IT.

Developer Reality: Microsoft and Meta are currently reporting that 30% to 50% of their production code is AI-generated. A 96% failure rate would have collapsed their infrastructure by now; instead, deployment speeds have increased.

The Prompting Gap: The study used briefs written for humans. Research shows that when ""Agentic workflows"" and optimized prompting are used, AI accuracy on complex tasks jumps from the low single digits to nearly 50%.

The Verdict: The study proves AI isn't a ""drop-in"" replacement for a human professional yet, but it ignores that AI-assisted humans are currently outperforming and out-earning those who don't use it. We aren't seeing a ""failure"" of AI; we're seeing the ""failure"" of the ""set-it-and-forget-it"" implementation strategy.",negative
AI wouldn‘t spell Freelancer wrong. U should have kept going to school 😂,positive
"Once AI will have logic embedded into it, it will be significantly better",positive
What about in next 5 years or 10 15 or 20years ?,neutral
"It fails now. But in a week it's different, in 10 weeks it is different. 

Anyways these ais still really in Brite force databases. Yes they discriminate better and faster, but there is no imagination or free will. But when that comes with quantum computing and true new ais rise, then we talk.",positive
"AI generally performs horribly and makes a lot of mistakes. But it makes these mistakes very fast and with full conviction which is enough to impress the ""average executive"" whose entire career follows similar trajectory.",negative
"Maybe not to replace services but for science and software, it is a game changer. You must use it as a tool not as a magic wand.",neutral
"On a grand scale, few trillion dollars are well spent. In five years from now, we will be standing on far more solid ground than now.",positive
You can tell panic is setting in because suddenly there is this huge effort to discredit the threat AI poses to the job market. AI is still in its infancy. It is laughable to pretend this study will be relevant in just six months. They will have to replicate this study with every new iteration and I assure you we will see that failure rate decrease precipitously. Don’t kid yourselves.,negative
"A politician claims AI will solve climate change while more data centers that will stain the power grid are being built. Yep, checks out with the norm",positive
"It may seem like its better at coding than other jobs, but that's because there are a lot of bullshit artists in coding, so of course the bullshit master tool will help with that. Just look at Microslop, its obvious that it is just giving more gas to shit devs to pump out more shit code. Code that works, is well tested takes work, and it takes a competent developer and a properly prompted model to keep the bar high.",negative
"Oh wow another thing hyped up and lied about by people that want investment money, like Self Driving Teslas or Crypto currencies. We've literally never seen this happen before.",positive
"Nice. Instead of taking over jobs that (almost) no one wants to do or that are very physical we now take the fun jobs in creative spaces.

Exactly what I wanted from this garbage",positive
i use it daily and i have coded professionally since the early 90s.. one has to know what they are doing to get value out of it. and it never works out of the box. always have to check and test. almost wonder if its faster to just type it,positive
"Show me the test plan for your AI BEFORE you foist it on the world. It's the way software engineering has always been, and is still for the most part, done.",neutral
"AI -- the abswer to the question ""what if we put 1,000,000 million into a talentless hack?""",negative
"Because they want it to. 0:20 

We can’t engage with this BS like this. It’s malicious and Evil.",negative
"This study is flawed. They should have looked at upwork before AI not recent tasks. If AI could do a job the likelyhood it'd be a recent upwork task decreases significantly. They jobs they choose were also hand picked to be ""complex"" if you work with AI you can get a sense of the level of complexity that will fail in a single prompt. They also took the description from upwork verbatium. The task could have been completed by someone with AI who was just better at prompting(Again looking at tasks pre AI would fix this).

People need to stop quoting this number like it's gospel. This study is basically how accurate they were at handpicking things they thought AI would fail. They also admit to very dumb things in the paper. Like if the AI completed first couple steps of the project and asked for review/to continue they counted that as a failure. It had to zero shot the project.",negative
The comments here are all on point. 👏🏻👏🏻👏🏻,neutral
9:25 HANG ON.... this is literally offing people now!,neutral
"AI is a great tool for helping out human workers, not replacing them, but the market and its promotion to me look more like ""fake it until you make it.""",positive
"It really doesn't matter how sub par AI is now. There is well over 1 trillion dollars in previous funding, current funding, and future funding. It need be only sub par for many things. Once it is across the board proficient, its already to late.",positive
"The AI bubble is starting to feel a lot like the Australian Real Estate bubble. 

In the same vein that the AU government would never allow the housing market to crash over here, I'm starting to get the impression that the US government would never allow the AI market to crash. 

There are just too many rich fingers in very expensive pies.",positive
"If you actually read the RLI paper properly you'd see that their claim that AI can only automate 2.5% of freelance work is quite bullshit research.  They gave humans weeks with professional tools and gave AI one hour with very limited tooling. Obviously measuring whether AI can do economically valuable tasks is useful, but this research wasn't set up on an apples to apples comparison. A proper study would give AI the same time and tools, and actually test human+AI workflows, you know, how people are actually using this stuff. 

This paper tests none of that. and this clickbait title and really bad science communication by Coldfusion is super disappointing.",negative
"I predicted this over a year ago. 

https://youtu.be/yjEOvs2b5gY?si=dyvoo37TqXaE0q2W",neutral
"Stupid video and misleading. Of course AI can't can't directly replace humans yet. But let's say you require 5 humans to perform a task today. With AI 1 human might be able to resolve those 5 humans. Every revolution we've gone through the industrial revolution and the invention of computers in the internet have just made humans more efficient. 

Also AI is learning and improving at an exponential rate!",positive
my company already remvoed all engineers and people who actually buit the system from scratch and is throwing new AI tool every week to the mix. 3 layoffs after that due to project not getting completed on time.,neutral
The derision delivered from a pedestal of authority at the end isn't quite as intellectually sharp as you’d think. It feels like a cheap tactic for a channel striving for an egalitarian image,negative
"So in a nutshell AI fine if you've got a wide strike zone for what counts as success but cannot be counted on, especially by laymen, when it needs to pass strict validations and routines.",positive
"AI is money saving tool. Quality doesn't matter, only price and ""bottom end"".",neutral
so it succeeds at 4% of jobs? that's amazing really,positive
"The point is that in an highly monopolised market in which people have little power to guide production via systemic inputs and are badly educated as well as stressed out (no taste building, high desire for belonging / subjugation) enshitification is a perfect business modell. All your commercials and products may work badly and look like shit your services may work badly and are annoying and your software can be a dysfunctional clusterfuck security nightmare but if systemic pressure makes them omnipresent and cheap that just dosen't matter.",negative
Let’s also keep in mind that this results are probably from people who are already well trained in AI usage. Many companies did not enable their employees to get even this low success ra5e.,positive
96.25% FAULURE RATE - fix the typo in the opening seconds xD,positive
"At least from my experience, if you're not an expert to review the AI's work after it's done, don't trust the results. As an example I tried to test AI on basic car setup for track racing and by basic I mean really basic stuff such as comparing tyre temperatures on different areas of the tyre and between the tyres to adjust camber settings in one direction or the other, I didn't even asked it to calculate the camber angle, just to tell me which direction it should go. Long story short, it went in the complete opposite direction and if I had set up the car the way it advised I would end up with a setup that was suitable for 1920's race cars and tractors. Even after asking it to take into account different variables it was still adamant that its thinking was correct. Only when I  spent half an hour guiding it through its errors in logic it produced a somewhat acceptable results. As someone with experience with such setups It would take me 30 seconds to decide in general the camber angles for each tyre within 0.2' degrees of the optimal (to get absolutely the optimal angle you need to run quali and race simulations to compare tyre wear and compromise the pro's and cons, such a task would be impossible for the AI to even understand the concept and tailor it to a specific driving style, how much faster it is and how much more difficult it is to drive without wearing the tyres too much. For example for quali runs I don't care that much about tyre wear and how difficult it is to drive, I only care about lap time, i can deal with a car on a razor's edge for two laps, but for a long race my priority isn't only lap time but how easy it is to drive (if the car is too twitchy for two hours you'll eventually crash) and tyre wear, i need the tyres to last the distance with a steady drop in laptimes (not grip suddenly falling through a cliff)",negative
Me who fails at 98% of jobs 💀💀💀,negative
"7:57 LLMs are actually not moving fast. They still have their inherent limitations, that come from brute-force over sizing transformers into general purpose “story tellers”. that cannot, by design, have goals. then they try to fake goals, again with brute force, by having several layers of LLMs that try to keep notes, in hope that these high-level notes could act like a goal.

transformers scaling up to LLMs were an unexpected lucky find. but the people working on them have no idea why. But they know that they are an evolutionary dead end. Their bosses keep telling us the exact opposite though.",negative
In next upcoming years I need to learn the skill to distinguish failure in AI work because that might make me rich and being hired everywhere.,positive
"Someone posted they asked AI if they should walk or drive to the car wash since it's only 5 mins from their house.

AI consistently says walk there.",neutral
"You’re focusing on the wrong things, and I think this video creates a false sense of security. I’m a Software Development Manager, and we’ve been using AI for real-world work for about a year now. A year ago, models were only good for boilerplate code or small projects; they hit a wall with anything large or complex. A year later, we can’t believe how much they've improved. It’s not just about what they can do today—it's the rate of progress we've seen in just twelve months that's truly impressive.",positive
That last chuckle 😂,positive
The company called the United States has had this technology for a long time,positive
"Did you use AI for your text overlay, because it failed to spell ""failure""?",negative
The harsh truth: LLM is not AI.,negative
"I am a big fan of this channel but these studies are so useless. The study does not specify the exact number of prompts used for a single task in the evaluation or what agentic framework. Any novice trying to make an AI do a job with a single prompt is guaranteed to fail but scale inference time and you'll start seeing the magic. Dont board the AI hype train but please learn how to use it, its going to be a game changer like nothing else.",negative
omg just burst the fucking bubble already,neutral
Another worst part about AI replacement workers is they'll do everything the right and (mostly) wrong ways yet they are deliberately programmed to not be able to see let alone admit their errors. They're like nepobaby interns.,negative
"I learned not to trust what AI tells me VERY quickly.
However, that being said, AI (Gemini Pro) has REALLY helped me with building the game I am attempting to make right now. With coming up with fun ideas, with graphic design, with UI/UX, with organizing, and with coding (so far). My work would take MUCH longer without it, so I am incredibly thankful for its existence!",positive
"I though ""AI replacing humans"" meant more that there would be one person in a team using AI to help them, when previously there were five people in the team without AI?",positive
"lol we have a benchmark, its SWE-bench, its close to the best programmers in the entire world. ""You are coping, coping and seeeeeeething!""
I guess you forgot Claude Opus 4.6....",positive
